,Ticker,Security,Industry,Weight
0,MMM,3M Company,Industrials,0.0033297581221441
1,ABT,Abbott Laboratories,Health Care,0.006305398164974
2,ABBV,AbbVie Inc.,Health Care,0.0060596320587132
3,ABMD,ABIOMED Inc,Health Care,0.0004138681841193
4,ACN,Accenture plc,Information Technology,0.0055086223884763
5,ATVI,Activision Blizzard,Communication Services,0.0022380084887156
6,ADBE,Adobe Inc.,Information Technology,0.0077713912721526
7,AMD,Advanced Micro Devices Inc,Information Technology,0.0037221477744196
8,AAP,Advance Auto Parts,Consumer Discretionary,0.0003632971980008
9,AES,AES Corp,Utilities,0.0004761024068527
10,AFL,AFLAC Inc,Financials,0.000972602855231
11,A,Agilent Technologies Inc,Health Care,0.0012045548422804
12,APD,Air Products & Chemicals Inc,Materials,0.0019348956112553
13,AKAM,Akamai Technologies Inc,Information Technology,0.0005584317299008
14,ALK,Alaska Air Group Inc,Industrials,0.0002018598267792
15,ALB,Albemarle Corp,Materials,0.0004796367209784
16,ARE,Alexandria Real Estate Equities,Real Estate,0.0006821933125424
17,ALXN,Alexion Pharmaceuticals,Health Care,0.0011330607165377
18,ALGN,Align Technology,Health Care,0.0012366363165014
19,ALLE,Allegion,Industrials,0.0003450096469104
20,LNT,Alliant Energy Corp,Utilities,0.0004116567132807
21,ALL,Allstate Corp,Financials,0.0010894169861055
22,GOOGL,Alphabet Inc. (Class A),Communication Services,0.017104434387806
23,GOOG,Alphabet Inc. (Class C),Communication Services,0.0167840336652508
24,MO,Altria Group Inc,Consumer Staples,0.0026158670609143
25,AMZN,Amazon.com Inc.,Consumer Discretionary,0.0450641914754059
26,AMCR,Amcor plc,Materials,0.0005975818323732
27,AEE,Ameren Corp,Utilities,0.0006294512477466
28,AAL,American Airlines Group,Industrials,0.0002819271887868
29,AEP,American Electric Power,Utilities,0.0013553993691653
30,AXP,American Express Co,Financials,0.0025403842092297
31,AIG,American International Group,Financials,0.0010776830632082
32,AMT,American Tower Corp.,Real Estate,0.0032337661504901
33,AWK,American Water Works Company Inc,Utilities,0.0008933534344924
34,AMP,Ameriprise Financial,Financials,0.0007483859670966
35,ABC,AmerisourceBergen Corp,Health Care,0.0004752137793011
36,AME,AMETEK Inc.,Industrials,0.0008748841186756
37,AMGN,Amgen Inc.,Health Care,0.0044339687373758
38,APH,Amphenol Corp,Information Technology,0.0012827338707409
39,ADI,"Analog Devices, Inc.",Information Technology,0.0017320259804401
40,ANSS,ANSYS,Information Technology,0.0009684525606434
41,ANTM,Anthem,Health Care,0.0025861889202988
42,AON,Aon plc,Financials,0.001602569103036
43,AOS,A.O. Smith Corp,Industrials,0.0002448067924266
44,APA,Apache Corporation,Energy,0.0001924787472855
45,AAPL,Apple Inc.,Information Technology,0.067666917956401
46,AMAT,Applied Materials Inc.,Information Technology,0.0026160993158426
47,APTV,Aptiv PLC,Consumer Discretionary,0.0011041197328684
48,ADM,Archer-Daniels-Midland Co,Consumer Staples,0.0008971704937482
