,Ticker,Weight
0,AAPL,6.700995
1,MSFT,5.377634
2,AMZN,4.462667
3,FB,2.137493
4,GOOGL,1.693837
5,GOOG,1.662108
6,BRK.B,1.442523
7,JNJ,1.310681
8,JPM,1.181275
9,V,1.153804
10,PG,1.115386
11,NVDA,1.066454
12,UNH,1.051716
13,DIS,1.015792
14,MA,0.964387
15,HD,0.955707
16,PYPL,0.895014
17,VZ,0.804319
18,ADBE,0.769594
19,NFLX,0.761592
20,CMCSA,0.758349
21,BAC,0.712635
22,INTC,0.697294
23,PFE,0.685136
24,T,0.6842
25,KO,0.667649
26,CRM,0.6665
27,WMT,0.657691
28,MRK,0.654227
29,PEP,0.654092
30,ABT,0.624418
31,CSCO,0.615147
32,ABBV,0.60008
33,TMO,0.596223
34,XOM,0.596033
35,NKE,0.5658
36,AVGO,0.554178
37,CVX,0.551485
38,QCOM,0.546957
39,ACN,0.545514
40,COST,0.530075
41,MCD,0.51687
42,MDT,0.502431
43,TXN,0.483101
44,HON,0.482229
45,NEE,0.476637
46,DHR,0.459308
47,BMY,0.456995
48,UNP,0.445011
49,LLY,0.444314
50,AMGN,0.439092
51,LIN,0.437073
52,PM,0.432533
53,C,0.405265
54,LOW,0.400649
55,UPS,0.399493
56,ORCL,0.398694
57,WFC,0.393644
58,SBUX,0.391117
59,BA,0.380569
60,AMD,0.368601
61,IBM,0.362485
62,RTX,0.349874
63,NOW,0.343581
64,MMM,0.329743
65,BLK,0.324623
66,INTU,0.322505
67,AMT,0.320237
68,CHTR,0.317127
69,CAT,0.314409
70,GE,0.3075
71,MS,0.299409
72,ISRG,0.295736
73,CVS,0.295131
74,FIS,0.293248
75,LMT,0.281203
76,BKNG,0.280408
77,TGT,0.277803
78,GS,0.272655
79,DE,0.268637
80,MDLZ,0.268256
81,TJX,0.262323
82,MU,0.260246
83,AMAT,0.25907
84,MO,0.259047
85,ANTM,0.256108
86,SYK,0.252271
87,AXP,0.251572
88,SPGI,0.250822
89,ZTS,0.250458
90,SCHW,0.24839
91,ADP,0.247181
92,TMUS,0.245188
93,CI,0.241199
94,PLD,0.240151
95,GILD,0.240095
96,CL,0.237271
97,BDX,0.233729
98,FDX,0.228385
99,LRCX,0.228164
100,CB,0.224896
101,CSX,0.224579
102,ATVI,0.221628
103,DUK,0.218114
104,CME,0.214294
105,ADSK,0.211401
106,CCI,0.211039
107,SO,0.209014
108,D,0.206717
109,FISV,0.206685
110,TFC,0.205689
111,ICE,0.205239
112,EQIX,0.204555
113,USB,0.201143
114,VRTX,0.199713
115,PNC,0.199497
116,MMC,0.194902
117,SHW,0.192968
118,EL,0.192808
119,ITW,0.192169
120,APD,0.191611
121,NSC,0.19081
122,GPN,0.189906
123,PGR,0.182234
124,ECL,0.177346
125,EW,0.174553
126,DG,0.171595
127,ADI,0.171521
128,GM,0.171052
129,ILMN,0.170944
130,HUM,0.169597
131,REGN,0.168167
132,DD,0.165306
133,BSX,0.164419
134,NEM,0.160414
135,AON,0.158701
136,EMR,0.157173
137,NOC,0.15115
138,KMB,0.150661
139,ETN,0.149483
140,WM,0.148236
141,MCO,0.146498
142,COP,0.146371
143,CTSH,0.143663
144,ROP,0.143163
145,HCA,0.140968
146,TWTR,0.139352
147,COF,0.139282
148,ROST,0.134813
149,AEP,0.134224
150,EXC,0.134032
151,BAX,0.132991
152,IDXX,0.131693
153,EA,0.130929
154,KLAC,0.130905
155,LHX,0.130359
156,DOW,0.129095
157,BIIB,0.128443
158,CMG,0.127766
159,APH,0.127028
160,TEL,0.124299
161,SRE,0.123541
162,SYY,0.122757
163,SNPS,0.122723
164,ALGN,0.122463
165,XLNX,0.12007
166,A,0.119286
167,MSCI,0.118458
168,STZ,0.117813
169,GIS,0.117131
170,DLR,0.116846
171,CNC,0.116844
172,MET,0.116283
173,FCX,0.116048
174,CDNS,0.115449
175,PSA,0.11468
176,F,0.114624
177,MCHP,0.114348
178,GD,0.114171
179,EBAY,0.113923
180,XEL,0.11355
181,PH,0.113457
182,TRV,0.113456
183,JCI,0.112368
184,MAR,0.112332
185,ALXN,0.112206
186,TROW,0.111293
187,DXCM,0.111038
188,IQV,0.110965
189,PPG,0.110247
190,TT,0.109504
191,APTV,0.10934
192,ORLY,0.108441
193,MNST,0.107885
194,ALL,0.107884
195,HPQ,0.107849
196,CMI,0.107183
197,AIG,0.106722
198,YUM,0.106357
199,VRSK,0.106243
200,BK,0.106108
201,INFO,0.106034
202,TDG,0.105099
203,SLB,0.102641
204,SBAC,0.102309
205,CARR,0.101898
206,ZBH,0.100951
207,PRU,0.099458
208,CTAS,0.099234
209,RMD,0.099126
210,PAYX,0.098531
211,EOG,0.098123
212,BLL,0.097569
213,AFL,0.096316
214,CTVA,0.096006
215,ANSS,0.095905
216,PCAR,0.095521
217,PSX,0.095352
218,WBA,0.095324
219,ES,0.094277
220,SWK,0.094266
221,HLT,0.094123
222,SPG,0.093795
223,WEC,0.093605
224,MSI,0.093342
225,PEG,0.093049
226,ROK,0.092287
227,FAST,0.091417
228,MCK,0.09035
229,GLW,0.090259
230,VFC,0.089739
231,KMI,0.089629
232,AZO,0.089628
233,WELL,0.089537
234,ADM,0.088846
235,LUV,0.088713
236,AWK,0.088468
