,ticker,security,industry
0,MMM,3M Company,Industrials
1,ABT,Abbott Laboratories,Health Care
2,ABBV,AbbVie Inc.,Health Care
3,ABMD,ABIOMED Inc,Health Care
4,ACN,Accenture plc,Information Technology
5,ATVI,Activision Blizzard,Communication Services
6,ADBE,Adobe Inc.,Information Technology
7,AMD,Advanced Micro Devices Inc,Information Technology
8,AAP,Advance Auto Parts,Consumer Discretionary
9,AES,AES Corp,Utilities
10,AFL,AFLAC Inc,Financials
11,A,Agilent Technologies Inc,Health Care
12,APD,Air Products & Chemicals Inc,Materials
13,AKAM,Akamai Technologies Inc,Information Technology
14,ALK,Alaska Air Group Inc,Industrials
15,ALB,Albemarle Corp,Materials
16,ARE,Alexandria Real Estate Equities,Real Estate
17,ALXN,Alexion Pharmaceuticals,Health Care
18,ALGN,Align Technology,Health Care
19,ALLE,Allegion,Industrials
20,LNT,Alliant Energy Corp,Utilities
21,ALL,Allstate Corp,Financials
22,GOOGL,Alphabet Inc. (Class A),Communication Services
23,GOOG,Alphabet Inc. (Class C),Communication Services
24,MO,Altria Group Inc,Consumer Staples
25,AMZN,Amazon.com Inc.,Consumer Discretionary
26,AMCR,Amcor plc,Materials
27,AEE,Ameren Corp,Utilities
28,AAL,American Airlines Group,Industrials
29,AEP,American Electric Power,Utilities
30,AXP,American Express Co,Financials
31,AIG,American International Group,Financials
32,AMT,American Tower Corp.,Real Estate
33,AWK,American Water Works Company Inc,Utilities
34,AMP,Ameriprise Financial,Financials
35,ABC,AmerisourceBergen Corp,Health Care
36,AME,AMETEK Inc.,Industrials
37,AMGN,Amgen Inc.,Health Care
38,APH,Amphenol Corp,Information Technology
39,ADI,"Analog Devices, Inc.",Information Technology
40,ANSS,ANSYS,Information Technology
41,ANTM,Anthem,Health Care
42,AON,Aon plc,Financials
43,AOS,A.O. Smith Corp,Industrials
44,APA,Apache Corporation,Energy
45,AAPL,Apple Inc.,Information Technology
46,AMAT,Applied Materials Inc.,Information Technology
47,APTV,Aptiv PLC,Consumer Discretionary
48,ADM,Archer-Daniels-Midland Co,Consumer Staples
49,ANET,Arista Networks,Information Technology
50,AJG,Arthur J. Gallagher & Co.,Financials
51,AIZ,Assurant,Financials
52,T,AT&T Inc.,Communication Services
53,ATO,Atmos Energy,Utilities
54,ADSK,Autodesk Inc.,Information Technology
55,ADP,Automatic Data Processing,Information Technology
56,AZO,AutoZone Inc,Consumer Discretionary
57,AVB,AvalonBay Communities,Real Estate
58,AVY,Avery Dennison Corp,Materials
59,BKR,Baker Hughes Co,Energy
60,BLL,Ball Corp,Materials
61,BAC,Bank of America Corp,Financials
62,BK,The Bank of New York Mellon,Financials
63,BAX,Baxter International Inc.,Health Care
64,BDX,Becton Dickinson,Health Care
65,BRK.B,Berkshire Hathaway,Financials
66,BBY,Best Buy Co. Inc.,Consumer Discretionary
67,BIIB,Biogen Inc.,Health Care
68,BLK,BlackRock,Financials
69,BA,Boeing Company,Industrials
70,BKNG,Booking Holdings Inc,Consumer Discretionary
71,BWA,BorgWarner,Consumer Discretionary
72,BXP,Boston Properties,Real Estate
73,BSX,Boston Scientific,Health Care
74,BMY,Bristol-Myers Squibb,Health Care
75,AVGO,Broadcom Inc.,Information Technology
76,BR,Broadridge Financial Solutions,Information Technology
77,BF.B,Brown-Forman Corp.,Consumer Staples
78,CHRW,C. H. Robinson Worldwide,Industrials
79,COG,Cabot Oil & Gas,Energy
80,CDNS,Cadence Design Systems,Information Technology
81,CPB,Campbell Soup,Consumer Staples
82,COF,Capital One Financial,Financials
83,CAH,Cardinal Health Inc.,Health Care
84,KMX,Carmax Inc,Consumer Discretionary
85,CCL,Carnival Corp.,Consumer Discretionary
86,CAT,Caterpillar Inc.,Industrials
87,CBOE,Cboe Global Markets,Financials
88,CBRE,CBRE Group,Real Estate
89,CDW,CDW,Information Technology
90,CE,Celanese,Materials
91,CNC,Centene Corporation,Health Care
